question_id,question_type,expected_answerable,needs_human_review,latency_ms,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr,recall_at_10
TP007,product_specific,True,False,0.7657000005565351,0.0,0.0,0.0,0.0,0.0,0.0
TP008,product_specific,True,False,0.7185999984358205,0.0,0.0,1.0,1.0,0.2,1.0
TP009,product_specific,True,False,0.7068999984767288,0.0,0.0,1.0,1.0,0.25,1.0
TP010,product_specific,True,False,0.7444999992003432,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TP011,temporal,True,False,0.5524000007426366,1.0,1.0,1.0,1.0,1.0,0.5
TP012,product_specific,True,False,0.6662999985564966,1.0,1.0,1.0,1.0,1.0,1.0
TP013,procedure,True,False,0.7705000007263152,0.0,0.0,1.0,1.0,0.25,0.14285714285714285
TP014,temporal,True,False,0.7224999990285141,0.0,0.0,1.0,1.0,0.2,1.0
TP015,preparation,True,False,1.0636999995767837,0.0,0.0,0.0,1.0,0.125,1.0
TP016,temporal,True,False,0.7569999997940613,1.0,1.0,1.0,1.0,1.0,1.0
TP017,preparation,True,False,0.8062000015343074,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TP018,preparation,True,False,0.843299998450675,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TP019,temporal,True,False,0.6852999995317077,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TP020,temporal,True,False,0.5216999998083338,1.0,1.0,1.0,1.0,1.0,1.0
TP021,fact_specific,True,False,0.44099999831814785,0.0,1.0,1.0,1.0,0.5,1.0
TP022,fact_specific,True,False,0.4377000004751608,1.0,1.0,1.0,1.0,1.0,1.0
TP023,preparation,True,False,0.4474000015761703,1.0,1.0,1.0,1.0,1.0,1.0
TP024,preparation,True,False,0.5125000006955815,0.0,0.0,0.0,1.0,0.16666666666666666,1.0
TP025,temporal,True,False,0.374399998690933,0.0,0.0,0.0,0.0,0.0,0.0
TP026,procedure,True,False,0.49980000039795414,0.0,1.0,1.0,1.0,0.3333333333333333,1.0
TP027,fact_specific,True,False,0.4811999988305615,0.0,1.0,1.0,1.0,0.5,1.0
TP028,fact_specific,True,False,0.6475000009231735,0.0,0.0,1.0,1.0,0.25,1.0
TP029,product_specific,True,False,2.135499998985324,0.0,0.0,0.0,1.0,0.125,1.0
TP030,paraphrase,True,False,0.7557000008091563,0.0,0.0,0.0,1.0,0.16666666666666666,1.0
TP031,monitoring,True,False,0.7012999994913116,0.0,0.0,0.0,1.0,0.1,1.0
TP032,adverse_reaction,True,False,0.7487999992008554,1.0,1.0,1.0,1.0,1.0,1.0
TP033,adverse_reaction,True,False,0.693199999659555,1.0,1.0,1.0,1.0,1.0,1.0
TP034,adverse_reaction,True,False,0.9432999995624414,1.0,1.0,1.0,1.0,1.0,1.0
TN006,negative_out_of_scope,False,False,0.6030999993527075,,,,,,
TN007,negative_out_of_scope,False,False,0.5767000002379064,,,,,,
TN008,negative_out_of_scope,False,False,0.4929999995511025,,,,,,
TN009,negative_out_of_scope,False,False,0.5826999986311421,,,,,,
TN010,negative_out_of_scope,False,False,0.8750999986659735,,,,,,
TN011,negative_out_of_scope,False,False,0.5579000007855939,,,,,,
