id,category,question,expected_mode,expected_behavior,expected_intent,expected_topic,expected_branch,expected_phase,expected_qualifier,actual_kind,actual_domain,actual_topic,actual_branches,actual_requested_phase,pre_budget_reason,post_budget_reason,selected_evidence_count,pass,failure_category
FACT01,fact_specific,소아 진정은 몇 분마다 확인해?,independent_answer,answer,fact,진정간호,pediatric,,monitoring_interval,fact,hospital,진정간호,pediatric,,supported,supported,4,True,
FACT02,fact_specific,성인은 몇 분마다 모니터링해?,context_follow_up,follow_up,fact,진정간호,adult,,monitoring_interval,cautions,unknown,"성인,분마다,모니터링해",,,domain_or_clarification,,0,True,
FACT03,fact_specific,진정 동의서는 언제 받아?,independent_answer,answer,fact,진정간호,any,,consent_timing,fact,hospital,진정간호,,,supported,supported,1,True,
FACT04,fact_specific,진정 전 산소포화도 확인해?,independent_answer,answer,preparation,진정간호,any,before,oxygen_saturation,preparation,hospital,진정간호,"adult,pediatric",before,supported,supported,8,True,
FACT05,fact_specific,진정 중 활력징후는 얼마나 자주 측정해?,independent_answer,answer,fact,진정간호,both,during,vital_sign_interval,fact,hospital,진정간호,"adult,pediatric",during,supported,supported,7,True,
FACT06,fact_specific,진정 후 입원실로 이동하면 어떻게 관찰해?,independent_answer,answer,cautions,진정간호,any,after,transfer_observation,cautions,hospital,진정간호,"adult,pediatric",after,supported,supported,9,True,
COMP01,comparison,성인과 소아 진정 차이 알려줘,independent_answer,answer,comparison,진정간호,both,,branch_comparison,comparison,hospital,진정간호,"adult,pediatric",,supported,supported,11,True,
COMP02,comparison,성인과 소아 모니터링 간격 비교해줘,context_follow_up,follow_up,comparison,진정간호,both,,monitoring_interval,comparison,unknown,"성인과,소아,모니터링,간격,비교해줘",,,domain_or_clarification,,0,True,
COMP03,comparison,성인과 소아 진정 전 확인사항 비교해줘,independent_answer,answer,comparison,진정간호,both,before,pre_sedation_check,comparison,hospital,진정간호,"adult,pediatric",before,supported,supported,10,True,
COMP04,comparison,성인과 소아 진정 후 관찰 방법이 어떻게 달라?,independent_answer,answer,comparison,진정간호,both,after,post_sedation_observation,comparison,hospital,진정간호,"adult,pediatric",after,supported,supported,9,True,
NEG01,negative_out_of_scope,화성 우주선 궤도 공식은?,independent_abstain,abstain,fact,,none,,out_of_scope,fact,out_of_scope,"화성,우주선,궤도,공식",,,domain_or_clarification,,0,True,
NEG02,negative_out_of_scope,오늘 서울 날씨 알려줘,independent_abstain,abstain,fact,,none,,out_of_scope,summary,out_of_scope,"오늘,서울,날씨",,,domain_or_clarification,,0,True,
NEG03,negative_out_of_scope,비트코인 가격 전망 알려줘,independent_abstain,abstain,fact,,none,,out_of_scope,summary,out_of_scope,"비트코인,가격,전망",,,domain_or_clarification,,0,True,
NEG04,negative_out_of_scope,진정간호 지침과 상관없는 축구 경기 결과 알려줘,independent_abstain,abstain,fact,,none,,out_of_scope,summary,out_of_scope,진정간호,,,domain_or_clarification,,0,True,
