id,category,question,expected_behavior,expected_intent,expected_topic,expected_branch,expected_phase,expected_qualifier,actual_kind,actual_domain,actual_topic,actual_branches,actual_requested_phase,pre_budget_reason,post_budget_reason,selected_evidence_count,pass,failure_category
BR06,branch_specific,성인 진정 중 투약과 관찰 방법은?,answer,procedure,진정간호,adult,during,medication_monitoring,cautions,hospital,진정간호,"adult,pediatric",during,supported,supported,11,False,intent_mismatch
BR07,branch_specific,소아 진정 후 회복 관찰은?,answer,cautions,진정간호,pediatric,after,recovery_observation,cautions,hospital,진정간호,adult,after,supported,supported,6,False,branch_coverage_mismatch
FACT01,fact_specific,소아 진정은 몇 분마다 확인해?,answer,fact,진정간호,pediatric,,monitoring_interval,fact,hospital,진정간호,,,no_topic_evidence,,0,False,pre_budget:no_topic_evidence
FACT02,fact_specific,성인은 몇 분마다 모니터링해?,answer,fact,진정간호,adult,,monitoring_interval,fact,unknown,"성인,분마다,모니터링해",adult,,supported,supported,6,False,domain_not_hospital
FACT03,fact_specific,진정 동의서는 언제 받아?,answer,fact,진정간호,any,,consent_timing,fact,hospital,진정간호,,,no_topic_evidence,,0,False,pre_budget:no_topic_evidence
FACT04,fact_specific,진정 전 산소포화도 확인해?,answer,preparation,진정간호,any,before,oxygen_saturation,preparation,hospital,진정간호,,before,supported,supported,3,True,
FACT05,fact_specific,진정 중 활력징후는 얼마나 자주 측정해?,answer,fact,진정간호,both,during,vital_sign_interval,fact,hospital,진정간호,,during,no_topic_evidence,,0,False,pre_budget:no_topic_evidence
FACT06,fact_specific,진정 후 입원실로 이동하면 어떻게 관찰해?,answer,cautions,진정간호,any,after,transfer_observation,cautions,hospital,진정간호,,after,missing_requested_aspect,,0,False,pre_budget:missing_requested_aspect
COMP01,comparison,성인과 소아 진정 차이 알려줘,answer,comparison,진정간호,both,,branch_comparison,comparison,hospital,진정간호,,,no_topic_evidence,,0,False,pre_budget:no_topic_evidence
COMP02,comparison,성인과 소아 모니터링 간격 비교해줘,answer,comparison,진정간호,both,,monitoring_interval,comparison,unknown,"성인과,소아,모니터링,간격,비교해줘",adult,,supported,supported,7,False,domain_not_hospital
COMP03,comparison,성인과 소아 진정 전 확인사항 비교해줘,answer,comparison,진정간호,both,before,pre_sedation_check,comparison,hospital,진정간호,,before,no_topic_evidence,,0,False,pre_budget:no_topic_evidence
COMP04,comparison,성인과 소아 진정 후 관찰 방법이 어떻게 달라?,answer,comparison,진정간호,both,after,post_sedation_observation,cautions,hospital,진정간호,,after,missing_requested_aspect,,0,False,intent_mismatch
NEG01,negative_out_of_scope,화성 우주선 궤도 공식은?,abstain,fact,,none,,out_of_scope,fact,out_of_scope,"화성,우주선,궤도,공식",,,domain_or_clarification,,0,True,
NEG02,negative_out_of_scope,오늘 서울 날씨 알려줘,abstain,fact,,none,,out_of_scope,fact,out_of_scope,"오늘,서울,날씨",,,domain_or_clarification,,0,True,
NEG03,negative_out_of_scope,비트코인 가격 전망 알려줘,abstain,fact,,none,,out_of_scope,fact,out_of_scope,"비트코인,가격,전망",,,domain_or_clarification,,0,True,
NEG04,negative_out_of_scope,진정간호 지침과 상관없는 축구 경기 결과 알려줘,abstain,fact,,none,,out_of_scope,fact,hospital,진정간호,,,no_topic_evidence,,0,False,negative_domain_not_out_of_scope
